product_id,product_name,category,unit_price
PROD0001,Persevering non-volatile encryption,Toys,60.11
PROD0002,Total directional framework,Toys,141.14
PROD0003,Synergized attitude-oriented projection,Apparel,74.07
PROD0004,Streamlined well-modulated alliance,Electronics,339.97
PROD0005,Cross-group impactful implementation,Books,48.03
PROD0006,Multi-tiered neutral leverage,Sports,20.73
PROD0007,Centralized scalable access,Electronics,113.23
PROD0008,Total composite artificial intelligence,Books,303.0
PROD0009,Proactive intermediate project,Books,103.42
PROD0010,Managed non-volatile attitude,Toys,352.16
PROD0011,Progressive 6thgeneration emulation,Sports,114.12
PROD0012,Extended system-worthy open system,Books,142.7
PROD0013,Phased encompassing analyzer,Electronics,380.61
PROD0014,Compatible systemic focus group,Apparel,350.58
PROD0015,Quality-focused non-volatile protocol,Home & Kitchen,142.55
PROD0016,Automated context-sensitive functionalities,Apparel,478.82
PROD0017,Ameliorated demand-driven parallelism,Home & Kitchen,55.59
PROD0018,Digitized web-enabled structure,Sports,52.87
PROD0019,Object-based asynchronous framework,Home & Kitchen,303.84
PROD0020,Diverse non-volatile encoding,Electronics,366.22
PROD0021,Re-contextualized human-resource service-desk,Books,66.79
PROD0022,Quality-focused full-range info-mediaries,Sports,44.01
PROD0023,Versatile user-facing challenge,Home & Kitchen,415.56
PROD0024,Team-oriented uniform artificial intelligence,Books,443.3
PROD0025,Profit-focused value-added hardware,Home & Kitchen,290.79
PROD0026,Business-focused bandwidth-monitored Internet solution,Toys,39.43
PROD0027,Focused asynchronous Graphical User Interface,Toys,117.81
PROD0028,Robust zero administration pricing structure,Home & Kitchen,492.68
PROD0029,Right-sized hybrid time-frame,Apparel,433.91
PROD0030,Inverse 4thgeneration productivity,Sports,142.6
PROD0031,Future-proofed zero tolerance knowledge user,Toys,417.88
PROD0032,Pre-emptive discrete help-desk,Apparel,188.24
PROD0033,Reactive homogeneous Internet solution,Apparel,336.74
PROD0034,Enterprise-wide systemic paradigm,Toys,468.64
PROD0035,Switchable homogeneous artificial intelligence,Toys,40.34
PROD0036,Visionary regional frame,Toys,89.71
PROD0037,Fully-configurable transitional archive,Toys,126.18
PROD0038,Configurable encompassing collaboration,Sports,192.83
PROD0039,Multi-tiered transitional toolset,Toys,345.64
PROD0040,Sharable coherent support,Apparel,343.88
PROD0041,Networked foreground hierarchy,Electronics,118.38
PROD0042,Customer-focused background ability,Electronics,403.5
PROD0043,Integrated leadingedge hierarchy,Sports,137.53
PROD0044,Virtual encompassing benchmark,Apparel,457.0
PROD0045,De-engineered background contingency,Books,438.8
PROD0046,Optional local open architecture,Home & Kitchen,110.25
PROD0047,Realigned multimedia installation,Sports,200.84
PROD0048,Customer-focused 4thgeneration array,Toys,232.13
PROD0049,Multi-channeled neutral array,Home & Kitchen,74.12
PROD0050,Right-sized radical toolset,Toys,282.88
PROD0051,Inverse human-resource access,Home & Kitchen,374.77
PROD0052,Implemented incremental info-mediaries,Sports,449.42
PROD0053,Vision-oriented attitude-oriented success,Sports,184.19
PROD0054,Realigned dynamic orchestration,Apparel,257.22
PROD0055,Programmable composite software,Electronics,379.11
PROD0056,Multi-tiered composite challenge,Electronics,80.66
PROD0057,Future-proofed exuding flexibility,Apparel,397.08
PROD0058,Proactive client-server architecture,Sports,300.22
PROD0059,Down-sized intermediate focus group,Sports,193.9
PROD0060,Operative exuding matrices,Sports,266.91
